"LABEL_ABANDON_MATCH","ABANDON MATCH","无效比赛","BRECHE SPIEL AB","ABANDONAR PARTIDA","ABANDONNER LE MATCH","対戦を放棄","PORZUĆ MECZ","НЕДОСТУПНЫЙ МАТЧ"
"LABEL_ACTION_POINTS","ACTION POINTS","新的回合","AKTIONSPUNKTE","PUNTOS DE ACCIÓN","POINTS D'ACTION","アクションポイント","PUNKTY AKCJI","ОЧКОВ ДЕЙСТВИЯ"
"LABEL_ACTION_SLOTS","ACTION SLOTS","健康值","ACTION SLOTS","RANURAS DE ACCIÓN","ACTION SLOTS","アクションスロット","SLOTY AKCJI","ДОСТУПНЫХ СЛОТОВ"
"LABEL_AI_SPEED","AI SPEED","当前地图","AI SPEED","VELOCIDAD IA","VITESSE IA","AI SPEED","SZYBKOŚĆ AI","AI SPEED"
"LABEL_ATTACK","ATTACK","人类","ATTACK","ATAQUE","ATTAQUE","攻撃","ATAK","АТАКА"
"LABEL_AUTO_FOLLOW","CAMERA AUTO FOLLOW","镜头抖动","KAMERA FOLGT AUTOMATISCH","SEGUIMIENTO AUTOMÁTICO CÁMARA","SUIVI AUTO CAMÉRA","カメラ自動追尾","AUT. ŚLEDZ. KAMERY","АВТОНАВЕДЕНИЕ КАМЕРЫ"
"LABEL_BACK","BACK","回合限制：","ZURÜCK","ATRÁS","RETOUR","戻る","COFNIJ","НАЗАД"
"LABEL_BACK_TO_MENU","OPEN MAIN MENU","结束我的回合","HAUPTMENU ÖFFNEN","ABRIR MENÚ PRINCIPAL","MENU PRINCIPAL","メインメニューを開く","OTWÓRZ MENU GŁÓWNE","ОТКРЫТЬ ГЛАВНОЕ МЕНЮ"
"LABEL_BIGGER","BIGGER","缩放级别","GRÖSSER","MAYOR","+ GROS","大きく","BLIŻEJ","ДАЛЬШЕ"
"LABEL_BLUE","BLUE","消灭","BLAU","AZUL","BLEU","ブルー","NIEBIESKA","СИНИЙ"
"LABEL_BLUE_TEAM","BLUE TEAM","任务","TEAM BLAU","EQUIPO AZUL","ÉQUIPE BLEUE","ブルーチーム","ARMIA NIEBIESKA","СИНИЯ КОМАНДА"
"LABEL_BLUE_TEAM_TURN","BLUE TEAM TURN","镜头速度","BLUE TEAM TURN","TURNO EQUIPO AZUL","TOUR ÉQUIPE BLEUE","BLUE TEAM TURN","TURA ARMII NIEBIESKIEJ","BLUE TEAM TURN"
"LABEL_BLUE_WINS","BLUE WINS","回合","SIEGE BLAU","AZUL GANA","LES BLEUS GAGNENT","ブルーの勝ち","ZWYCIĘŻYLI NIEBIESCY","СИНИЕ ПОБЕДИЛИ"
"LABEL_BUILDING","BUILDING","单位","GEBÄUDE","EDIFICIO","BÂTIMENT","建物","BUDYNEK","ЗДАНИЕ"
"LABEL_BUILDING_AIRPORT","AIRPORT","工厂","FLUGHAFEN","AEROPUERTO","AÉROPORT","空港","LOTNISKO","АЭРОПОРТ"
"LABEL_BUILDING_BARRACKS","BARRACKS","总部","KASERNEN","BARRACON","CASERNE","兵舎","KOSZARY","КАЗАРМА"
"LABEL_BUILDING_FACTORY","FACTORY","兵营","FABRIK","FÁBRICA","USINE","工場","FABRYKA","ЗАВОД"
"LABEL_BUILDING_GSM_TOWER","GSM TOWER","机场","GSM TOWER","T. GSM","TOUR GSM","GSM タワー","WIEŻA RTV","РАДИОВЫШКА"
"LABEL_BUILDING_HQ","HQ","范围","HQ","CG","QG","司令部","CENTRALA","ШК"
"LABEL_CAMERA_MOVE_TO_BUNKER","MOVE CAMERA TO HQ","AI速度","MOVE CAMERA TO HQ","MOVER CÁMARA CG","DÉP. CAMÉRA SUR QG","MOVE CAMERA TO HQ","RUSZAJ KAMERA DO HQ","MOVE CAMERA TO HQ"
"LABEL_CAMERA_SHAKE","CAMERA SHAKE","音乐","KAMERA SCHÜTTELN","SACUDIR CÁMARA","SECOUSSES CAMÉRA","手振れ","WSTRZĄSY KAMERY","ТРЯСКА КАМЕРЫ"
"LABEL_CAMERA_SPEED","CAMERA SPEED","镜头移回总部","CAMERA SPEED","VELOCIDAD CÁMARA","VITESSE CAMÉRA","CAMERA SPEED","SZYBKOŚĆ KAMERY","CAMERA SPEED"
"LABEL_CAMPAIGN","CAMPAIGN","开始回合","KAMPAGNE","CAMPAÑA","CAMPAGNE","遠征","KAMPANIA","КАМПАНИЯ"
"LABEL_CANCEL","Cancel","上传","Abbrechen","Cancelar","Annuler","キャンセル","Anuluj","Назад"
"LABEL_CLEAR","CLEAR","放弃","LÖSCHEN","LIMPIAR","EFFACER","クリア","WYCZYŚĆ","СТЕРЕТЬ"
"LABEL_CLEAR_SLOT","CLEAR GAME SLOT","ARE YOU SURE YOU WANT TO ABANDON THIS MATCH? YOU WILL NOT BE ABLE TO CONTINUE THIS GAME.","SPIEL EINTRAG LÖSCHEN","LIMPIAR RANURA DEL JUEGO","LIBÉRER EMPLACEMENTS","ゲームスロットをクリア","WYCZYŚĆ SLOT","СТЕРЕТЬ СЛОТ"
"LABEL_COMPLETED","COMPLETED","创建地图数","ABGESCHLOSSEN","TERMINADO","TERMINÉE(S)","完了","ZAKOŃCZONE","ПРОЙДЕНО"
"LABEL_CONFIRM","CONFIRM","战斗","BESTÄTIGEN","CONFIRMAR","CONFIRMER","確認","POTWIERDŹ","ПОДТВЕРДИТЬ"
"LABEL_CPU","CPU","开始游戏","CPU","CPU","ORDI","CPU","KOMPUTER","БОТ"
"LABEL_CPU_TURN","CPU TURN","结束回合","CPU ZUG","TURNO CPU","TOUR DE L'ORDI","CPU の順番","TURA PRZECIWNIKA","ХОД КОМПЬЮТЕРА"
"LABEL_CREATE","CREATE","多人游戏","ERSTELLEN","CREAR","CRÉER","作成","UTWÓRZ","СОЗДАТЬ"
"LABEL_CREATE_MATCH","CREATE MATCH","正在刷新在线比赛列表。请稍候...","SPIEL ERSTELLEN","CREAR PARTIDA","CRÉER UN MATCH","対戦を作成","UTWÓRZ MECZ","СОЗДАТЬ МАТЧ"
